ssp,time,tas,ensemble,model
ssp370,2076,14.905284,NEX,ACCESS-ESM1-5
ssp370,2077,17.354574,NEX,ACCESS-ESM1-5
ssp370,2078,15.436629,NEX,ACCESS-ESM1-5
ssp370,2079,16.231327,NEX,ACCESS-ESM1-5
ssp370,2080,15.452243,NEX,ACCESS-ESM1-5
ssp370,2081,16.97867,NEX,ACCESS-ESM1-5
ssp370,2082,16.553099,NEX,ACCESS-ESM1-5
ssp370,2083,16.855028,NEX,ACCESS-ESM1-5
ssp370,2084,17.566965,NEX,ACCESS-ESM1-5
ssp370,2085,16.431305,NEX,ACCESS-ESM1-5
ssp370,2086,16.764332,NEX,ACCESS-ESM1-5
ssp370,2087,17.718119,NEX,ACCESS-ESM1-5
ssp370,2088,17.189806,NEX,ACCESS-ESM1-5
ssp370,2089,16.25175,NEX,ACCESS-ESM1-5
ssp370,2090,14.93056,NEX,ACCESS-ESM1-5
ssp370,2091,15.877999,NEX,ACCESS-ESM1-5
ssp370,2092,14.627611,NEX,ACCESS-ESM1-5
ssp370,2093,16.13289,NEX,ACCESS-ESM1-5
ssp370,2094,17.839138,NEX,ACCESS-ESM1-5
ssp370,2095,17.69065,NEX,ACCESS-ESM1-5
ssp370,2096,16.855503,NEX,ACCESS-ESM1-5
ssp370,2097,16.466885,NEX,ACCESS-ESM1-5
ssp370,2098,17.834507,NEX,ACCESS-ESM1-5
ssp370,2099,17.386793,NEX,ACCESS-ESM1-5
ssp370,2100,17.977497,NEX,ACCESS-ESM1-5
ssp585,2015,12.944551,NEX,ACCESS-ESM1-5
ssp585,2016,12.394434,NEX,ACCESS-ESM1-5
ssp585,2017,13.560544,NEX,ACCESS-ESM1-5
ssp585,2018,13.781415,NEX,ACCESS-ESM1-5
ssp585,2019,13.067326,NEX,ACCESS-ESM1-5
ssp585,2020,12.991934,NEX,ACCESS-ESM1-5
ssp585,2021,13.030337,NEX,ACCESS-ESM1-5
ssp585,2022,12.850471,NEX,ACCESS-ESM1-5
ssp585,2023,12.060561,NEX,ACCESS-ESM1-5
ssp585,2024,13.655119,NEX,ACCESS-ESM1-5
ssp585,2025,13.539729,NEX,ACCESS-ESM1-5
ssp585,2026,14.568493,NEX,ACCESS-ESM1-5
ssp585,2027,13.373585,NEX,ACCESS-ESM1-5
ssp585,2028,14.230674,NEX,ACCESS-ESM1-5
ssp585,2029,13.9201765,NEX,ACCESS-ESM1-5
ssp585,2030,14.67726,NEX,ACCESS-ESM1-5
ssp585,2031,14.834447,NEX,ACCESS-ESM1-5
ssp585,2032,15.324179,NEX,ACCESS-ESM1-5
ssp585,2033,14.174725,NEX,ACCESS-ESM1-5
ssp585,2034,14.875028,NEX,ACCESS-ESM1-5
ssp585,2035,13.727836,NEX,ACCESS-ESM1-5
ssp585,2036,14.260803,NEX,ACCESS-ESM1-5
ssp585,2037,13.337106,NEX,ACCESS-ESM1-5
ssp585,2038,14.077384,NEX,ACCESS-ESM1-5
ssp585,2039,15.782352,NEX,ACCESS-ESM1-5
ssp585,2040,14.56383,NEX,ACCESS-ESM1-5
ssp585,2041,14.011433,NEX,ACCESS-ESM1-5
ssp585,2042,14.224841,NEX,ACCESS-ESM1-5
ssp585,2043,14.464651,NEX,ACCESS-ESM1-5
ssp585,2044,14.119561,NEX,ACCESS-ESM1-5
ssp585,2045,14.558218,NEX,ACCESS-ESM1-5
ssp585,2046,15.212916,NEX,ACCESS-ESM1-5
ssp585,2047,14.706571,NEX,ACCESS-ESM1-5
ssp585,2048,14.673128,NEX,ACCESS-ESM1-5
ssp585,2049,13.843339,NEX,ACCESS-ESM1-5
ssp585,2050,15.10987,NEX,ACCESS-ESM1-5
ssp585,2051,14.03249,NEX,ACCESS-ESM1-5
ssp585,2052,15.160755,NEX,ACCESS-ESM1-5
ssp585,2053,15.59285,NEX,ACCESS-ESM1-5
ssp585,2054,16.077675,NEX,ACCESS-ESM1-5
ssp585,2055,14.7563,NEX,ACCESS-ESM1-5
ssp585,2056,15.420558,NEX,ACCESS-ESM1-5
ssp585,2057,16.193623,NEX,ACCESS-ESM1-5
ssp585,2058,15.260979,NEX,ACCESS-ESM1-5
ssp585,2059,16.807278,NEX,ACCESS-ESM1-5
ssp585,2060,16.315933,NEX,ACCESS-ESM1-5
ssp585,2061,15.14558,NEX,ACCESS-ESM1-5
ssp585,2062,15.906972,NEX,ACCESS-ESM1-5
ssp585,2063,14.696277,NEX,ACCESS-ESM1-5
ssp585,2064,16.290096,NEX,ACCESS-ESM1-5
ssp585,2065,16.765537,NEX,ACCESS-ESM1-5
ssp585,2066,14.871768,NEX,ACCESS-ESM1-5
ssp585,2067,16.61013,NEX,ACCESS-ESM1-5
ssp585,2068,16.60784,NEX,ACCESS-ESM1-5
ssp585,2069,17.887136,NEX,ACCESS-ESM1-5
